Text;Size;Color;Angle;Font;Repeat;URL
Great;26316;Random;Random;Random;Yes;
Good;19074;Random;Random;Random;Yes;
Love;14071;Random;Random;Random;Yes;
Best;11718;Random;Random;Random;Yes;
Tast;10676;Random;Random;Random;Yes;
Coffee;9421;Random;Random;Random;Yes;
Dog;8221;Random;Random;Random;Yes;
Tea;8054;Random;Random;Random;Yes;
Product;7398;Random;Random;Random;Yes;
Delicious;6650;Random;Random;Random;Yes;
Flavor;6494;Random;Random;Random;Yes;
Very;5766;Random;Random;Random;Yes;
Food;5010;Random;Random;Random;Yes;
Excel;4825;Random;Random;Random;Yes;
Price;4361;Random;Random;Random;Yes;
Tasty;4096;Random;Random;Random;Yes;
Cat;3870;Random;Random;Random;Yes;
Treat;3777;Random;Random;Random;Yes;
Yummy;3761;Random;Random;Random;Yes;
Favorit;3660;Random;Random;Random;Yes;
Snack;3213;Random;Random;Random;Yes;
Stuff;2978;Random;Random;Random;Yes;
Better;2641;Random;Random;Random;Yes;
Healthy;2567;Random;Random;Random;Yes;
Awesom;2324;Random;Random;Random;Yes;
Nice;2265;Random;Random;Random;Yes;
Perfect;2232;Random;Random;Random;Yes;
Chocolate;2218;Random;Random;Random;Yes;
One;2202;Random;Random;Random;Yes;
Wonder;2075;Random;Random;Random;Yes;
Really;2064;Random;Random;Random;Yes;
Cookie;2054;Random;Random;Random;Yes;
Chip;2040;Random;Random;Random;Yes;
Sweet;2013;Random;Random;Random;Yes;
Quality;2012;Random;Random;Random;Yes;
Buy;1963;Random;Random;Random;Yes;
Work;1940;Random;Random;Random;Yes;
Yum;1897;Random;Random;Random;Yes;
Bad;1852;Random;Random;Random;Yes;
Free;1716;Random;Random;Random;Yes;
Little;1614;Random;Random;Random;Yes;
Cup;1508;Random;Random;Random;Yes;
Amazed;1497;Random;Random;Random;Yes;
Bar;1496;Random;Random;Random;Yes;
More;1479;Random;Random;Random;Yes;
Make;1443;Random;Random;Random;Yes;
Mix;1435;Random;Random;Random;Yes;
Hot;1423;Random;Random;Random;Yes;
